"","IDinGrp","Trypsin","ProtConc"
"1",1,1,1.70000004768372
"2",2,1,2
"3",3,1,2
"4",4,1,2.20000004768372
"5",5,1,4
"6",6,1,4
"7",7,1,5
"8",8,1,6.69999980926514
"9",9,1,7.80000019073486
"10",1,2,1.39999997615814
"11",2,2,2.40000009536743
"12",3,2,2.40000009536743
"13",4,2,3.29999995231628
"14",5,2,4.40000009536743
"15",6,2,4.69999980926514
"16",7,2,6.69999980926514
"17",8,2,7.59999990463257
"18",9,2,9.5
"19",10,2,11.6999998092651
"20",1,3,2.90000009536743
"21",2,3,3.79999995231628
"22",3,3,4.40000009536743
"23",4,3,4.69999980926514
"24",5,3,5
"25",6,3,5.59999990463257
"26",7,3,7.40000009536743
"27",8,3,9.39999961853027
"28",9,3,10.3000001907349
